
[2025-06-21 02:26:58] [INFO] [__main__] - 2025-06-21 02:26:57 | LONG işlemi gerçekleştirildi. | Sembol: SUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 39.15 USDT
[2025-06-21 02:28:28] [INFO] [__main__] - 2025-06-21 02:28:27 | LONG işlemi gerçekleştirildi. | Sembol: SUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 39.15 USDT
[2025-06-21 02:29:58] [INFO] [__main__] - 2025-06-21 02:29:57 | LONG işlemi gerçekleştirildi. | Sembol: SUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 39.15 USDT
[2025-06-21 02:31:30] [INFO] [__main__] - 2025-06-21 02:31:30 | LONG işlemi gerçekleştirildi. | Sembol: FUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 39.15 USDT
[2025-06-21 02:33:03] [INFO] [__main__] - 2025-06-21 02:33:03 | LONG işlemi gerçekleştirildi. | Sembol: FUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 39.15 USDT
[2025-06-21 02:47:04] [INFO] [__main__] - 2025-06-21 02:47:04 | LONG işlemi gerçekleştirildi. | Sembol: BIDUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 39.51 USDT
[2025-06-21 02:49:39] [INFO] [__main__] - 2025-06-21 02:49:38 | LONG işlemi gerçekleştirildi. | Sembol: HAEDALUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 39.51 USDT
[2025-06-21 02:56:40] [INFO] [__main__] - 2025-06-21 02:56:40 | LONG işlemi gerçekleştirildi. | Sembol: AGTUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 39.92 USDT
[2025-06-21 02:59:19] [INFO] [__main__] - 2025-06-21 02:59:19 | LONG işlemi gerçekleştirildi. | Sembol: HAEDALUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 39.90 USDT
[2025-06-21 03:06:25] [INFO] [__main__] - 2025-06-21 03:06:25 | LONG işlemi gerçekleştirildi. | Sembol: AGTUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 39.44 USDT
[2025-06-21 03:13:47] [INFO] [__main__] - 2025-06-21 03:13:47 | LONG işlemi gerçekleştirildi. | Sembol: HAEDALUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 39.41 USDT
[2025-06-21 03:18:26] [INFO] [__main__] - 2025-06-21 03:18:26 | LONG işlemi gerçekleştirildi. | Sembol: BIDUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 39.39 USDT
[2025-06-21 03:23:05] [INFO] [__main__] - 2025-06-21 03:23:05 | LONG işlemi gerçekleştirildi. | Sembol: BIDUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 39.78 USDT
[2025-06-21 03:31:11] [INFO] [__main__] - 2025-06-21 03:31:11 | LONG işlemi gerçekleştirildi. | Sembol: 1000000BOBUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 38.18 USDT
[2025-06-21 03:32:55] [INFO] [__main__] - 2025-06-21 03:32:54 | SHORT işlemi gerçekleştirildi. | Sembol: USUALUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 36.63 USDT
[2025-06-21 03:35:09] [INFO] [__main__] - 2025-06-21 03:35:09 | LONG işlemi gerçekleştirildi. | Sembol: BIDUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 36.63 USDT
[2025-06-21 03:37:28] [INFO] [__main__] - 2025-06-21 03:37:28 | LONG işlemi gerçekleştirildi. | Sembol: BIDUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 36.97 USDT
[2025-06-21 03:40:12] [INFO] [__main__] - 2025-06-21 03:40:12 | LONG işlemi gerçekleştirildi. | Sembol: 1000000BOBUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 37.31 USDT
[2025-06-21 03:44:48] [INFO] [__main__] - 2025-06-21 03:44:47 | LONG işlemi gerçekleştirildi. | Sembol: BIDUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 37.29 USDT
[2025-06-21 03:58:49] [INFO] [__main__] - 2025-06-21 03:58:48 | LONG işlemi gerçekleştirildi. | Sembol: AGTUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 37.73 USDT
[2025-06-21 04:15:12] [INFO] [__main__] - 2025-06-21 04:15:12 | LONG işlemi gerçekleştirildi. | Sembol: AGTUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 38.45 USDT
[2025-06-21 04:17:42] [INFO] [__main__] - 2025-06-21 04:17:41 | LONG işlemi gerçekleştirildi. | Sembol: BCHUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 38.43 USDT
[2025-06-21 04:20:00] [INFO] [__main__] - 2025-06-21 04:19:59 | SHORT işlemi gerçekleştirildi. | Sembol: SEIUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 38.43 USDT
[2025-06-21 04:31:28] [INFO] [__main__] - 2025-06-21 04:31:28 | LONG işlemi gerçekleştirildi. | Sembol: BMTUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 38.43 USDT
[2025-06-21 04:33:30] [INFO] [__main__] - 2025-06-21 04:33:30 | LONG işlemi gerçekleştirildi. | Sembol: BMTUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 38.43 USDT
[2025-06-21 04:35:32] [INFO] [__main__] - 2025-06-21 04:35:32 | LONG işlemi gerçekleştirildi. | Sembol: BMTUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 38.43 USDT
[2025-06-21 04:54:03] [INFO] [__main__] - 2025-06-21 04:54:03 | LONG işlemi gerçekleştirildi. | Sembol: BMTUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 38.43 USDT
[2025-06-21 04:56:06] [INFO] [__main__] - 2025-06-21 04:56:06 | LONG işlemi gerçekleştirildi. | Sembol: BMTUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 38.43 USDT
[2025-06-21 05:00:29] [INFO] [__main__] - 2025-06-21 05:00:29 | LONG işlemi gerçekleştirildi. | Sembol: BMTUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 38.43 USDT
[2025-06-21 05:02:00] [INFO] [__main__] - 2025-06-21 05:01:59 | SHORT işlemi gerçekleştirildi. | Sembol: MUBARAKUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 38.43 USDT
[2025-06-21 05:03:30] [INFO] [__main__] - 2025-06-21 05:03:30 | SHORT işlemi gerçekleştirildi. | Sembol: MUBARAKUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 38.43 USDT
[2025-06-21 05:05:00] [INFO] [__main__] - 2025-06-21 05:05:00 | SHORT işlemi gerçekleştirildi. | Sembol: MUBARAKUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 38.43 USDT
[2025-06-21 05:06:31] [INFO] [__main__] - 2025-06-21 05:06:31 | SHORT işlemi gerçekleştirildi. | Sembol: MUBARAKUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 38.43 USDT
[2025-06-21 05:08:01] [INFO] [__main__] - 2025-06-21 05:08:01 | SHORT işlemi gerçekleştirildi. | Sembol: MUBARAKUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 38.43 USDT
[2025-06-21 05:09:32] [INFO] [__main__] - 2025-06-21 05:09:32 | SHORT işlemi gerçekleştirildi. | Sembol: MUBARAKUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 38.43 USDT
[2025-06-21 05:11:02] [INFO] [__main__] - 2025-06-21 05:11:02 | SHORT işlemi gerçekleştirildi. | Sembol: MUBARAKUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 38.43 USDT
[2025-06-21 05:12:33] [INFO] [__main__] - 2025-06-21 05:12:33 | SHORT işlemi gerçekleştirildi. | Sembol: MUBARAKUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 38.43 USDT
[2025-06-21 05:14:03] [INFO] [__main__] - 2025-06-21 05:14:03 | SHORT işlemi gerçekleştirildi. | Sembol: MUBARAKUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 38.43 USDT
[2025-06-21 05:16:06] [INFO] [__main__] - 2025-06-21 05:16:06 | LONG işlemi gerçekleştirildi. | Sembol: BMTUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 38.43 USDT
[2025-06-21 05:18:08] [INFO] [__main__] - 2025-06-21 05:18:08 | LONG işlemi gerçekleştirildi. | Sembol: BMTUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 38.43 USDT
[2025-06-21 05:20:12] [INFO] [__main__] - 2025-06-21 05:20:11 | LONG işlemi gerçekleştirildi. | Sembol: BMTUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 38.43 USDT
[2025-06-21 05:22:14] [INFO] [__main__] - 2025-06-21 05:22:14 | LONG işlemi gerçekleştirildi. | Sembol: BMTUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 38.43 USDT
[2025-06-21 05:24:17] [INFO] [__main__] - 2025-06-21 05:24:16 | LONG işlemi gerçekleştirildi. | Sembol: BMTUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 38.43 USDT
[2025-06-21 05:26:19] [INFO] [__main__] - 2025-06-21 05:26:19 | LONG işlemi gerçekleştirildi. | Sembol: BMTUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 38.43 USDT
